experiment,shadow_condition,phase,round,agent,provider,temperature,base_name,game_theory_concepts_count,game_theory_concepts_present,game_theory_concepts_keywords,decision_theory_count,decision_theory_present,decision_theory_keywords,probability_modeling_count,probability_modeling_present,probability_modeling_keywords,opponent_modeling_count,opponent_modeling_present,opponent_modeling_keywords,algorithmic_approaches_count,algorithmic_approaches_present,algorithmic_approaches_keywords,formal_methods_score,uses_formal_methods,sophistication_level
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,dominant,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,1,True,rule,4,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,3,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,4,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,3,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,dominant,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,1,True,rule,4,True,high
experiment_20250905_152321,0.75,1,3,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,4,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,2,True,nash equilibrium; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,1,True,heuristic,4,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,3,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,2,True,opponent model; opponent.*type,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,3,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,0,False,,0,False,,0,False,,1,True,opponent.*strategy,0,False,,1,True,medium
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,1,True,uncertain,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,3,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,0,False,,0,False,,0,False,,0,False,none
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,2,True,dominant strategy; dominant,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,2,True,dominant strategy; dominant,0,False,,1,True,uncertain,1,True,opponent.*strategy,0,False,,4,True,high
experiment_20250905_152321,0.75,1,3,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,equilibrium,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,0,False,,0,False,,1,True,uncertain,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,2,True,dominant strategy; dominant,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,2,True,opponent model; opponent.*type,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,2,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T07_p1i1,Mistral,0.7,Mistral_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T12_p1i1,Mistral,1.2,Mistral_T12,1,True,prisoner.*dilemma,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T02_p1i1,Gemini,0.2,Gemini_T02,2,True,prisoner.*dilemma; equilibrium,0,False,,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,Gemini20Flash_T07_p1i1,Gemini,0.7,Gemini_T07,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,Gemini20Flash_T12_p1i1,Gemini,1.2,Gemini_T12,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT5nano_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,equilibrium,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,GPT4.1mini_T1_p1i1,GPT4,1.0,GPT4_T1,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,0,False,,2,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T02_p1i1,Claude,0.2,Claude_T02,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T05_p1i1,Claude,0.5,Claude_T05,1,True,prisoner.*dilemma,1,True,maximize.*expected,0,False,,1,True,opponent.*strategy,0,False,,3,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,Claude4-Sonnet_T08_p1i1,Claude,0.8,Claude_T08,1,True,prisoner.*dilemma,0,False,,0,False,,1,True,opponent.*strategy,1,True,strategy.*based,3,True,high
experiment_20250905_152321,0.75,1,1,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,1,True,dominant,0,False,,0,False,,0,False,,0,False,,1,True,high
experiment_20250905_152321,0.75,1,1,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,2,GPT5mini_T1_p1i1,GPT5,1.0,GPT5_T1,0,False,,0,False,,0,False,,2,True,opponent model; opponent.*type,0,False,,2,True,medium
experiment_20250905_152321,0.75,1,2,Mistral-Medium_T02_p1i1,Mistral,0.2,Mistral_T02,0,False,,0,False,,1,True,prior,1,True,opponent.*strategy,1,True,rule,3,True,medium
